@relation 'data0910-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Remove-R18'

@attribute games numeric
@attribute starts numeric
@attribute min numeric
@attribute fgm numeric
@attribute fgp numeric
@attribute 3pm numeric
@attribute 3pp numeric
@attribute ftm numeric
@attribute ftp numeric
@attribute off numeric
@attribute def numeric
@attribute ast numeric
@attribute stl numeric
@attribute to numeric
@attribute blk numeric
@attribute pf numeric
@attribute dq numeric
@attribute tf numeric
@attribute PS {SG,C,PF,PG,SF,NA}

@data
70,38,23.83,3.66,0.41,0.9,0.35,1.84,0.89,0.23,1.63,3.26,0.47,1.34,0.14,1.76,0,0,PG
81,41,27.06,3.91,0.45,2.12,0.44,1.21,0.81,0.81,4.46,1.4,0.79,0.9,0.91,3.25,0.04,0.06,C
32,6,9.81,1.22,0.44,0,0,0.31,0.4,1.19,1.69,0.38,0.28,0.47,0.41,1.97,0,0,C
32,0,6.81,1.19,0.46,0.22,0.27,0.72,0.5,0.19,0.72,1.22,0.38,0.44,0,0.53,0,0,PG
81,74,33.93,4.84,0.42,2.3,0.38,3.1,0.82,0.8,4.11,1.67,0.91,1.36,0.72,2.36,0.01,0,SF
25,4,22.96,3.28,0.47,0.92,0.39,0.6,0.88,0.44,2.2,1.8,0.4,0.84,0.76,1.96,0,0,SG
69,69,29.87,5.83,0.52,0.01,0.2,2.68,0.84,1.13,6.2,2.68,0.99,1.46,0.83,2.46,0.01,0.09,PF
69,69,35.77,5.48,0.58,0,0,3.65,0.67,3.01,6.26,2.39,1,1.96,1.58,3.68,0.04,0.03,C
65,65,36.97,6.95,0.54,0,0,4.4,0.79,3.74,7.55,3.35,0.55,2.2,1.74,2.34,0,0.08,PF
80,80,39.7,7.5,0.47,0.83,0.33,3.76,0.75,1.44,4.46,1.91,1.48,2.11,0.8,2.51,0,0.04,SF
11,2,16.55,2.55,0.47,0.64,0.78,1.64,0.62,1.36,1.64,0.64,0.64,0.91,0.09,1.18,0,0,SG
45,4,16.91,1.98,0.43,1.07,0.39,0.36,0.7,0.47,2.07,0.71,0.91,0.33,0.22,1.98,0.02,0,SF
56,10,19.21,2.23,0.47,1.27,0.48,0.61,0.69,0.23,1.07,1.25,0.45,0.64,0.13,1.41,0,0,PG
